,SENDER,RECEIVER,SENDER DEPT,RECEIVER DEPT
460,69,306,15,9
461,139,46,17,17
462,333,114,10,10
463,334,335,17,17
464,336,337,13,13
465,336,116,13,13
466,336,165,13,13
467,336,115,13,13
468,336,136,13,13
469,336,338,13,13
470,336,169,13,13
471,336,251,13,13
472,336,135,13,13
473,336,339,13,13
474,340,134,2,2
475,251,336,13,13
476,58,57,21,21
477,341,74,1,1
478,341,309,1,1
479,341,215,1,1
480,341,311,1,1
481,341,222,1,1
482,341,316,1,1
483,191,342,0,0
484,191,277,0,0
485,191,149,0,0
486,191,262,0,0
487,191,343,0,0
488,191,344,0,0
489,191,345,0,0
490,191,346,0,0
491,191,214,0,0
492,191,347,0,0
493,191,348,0,0
494,191,349,0,0
495,191,350,0,0
496,191,284,0,0
497,191,351,0,0
498,191,231,0,0
499,191,278,0,0
500,191,130,0,0
501,191,178,0,0
502,191,122,0,0
503,191,179,0,0
504,191,352,0,0
505,191,207,0,4
506,353,354,16,16
507,353,185,16,16
508,90,13,8,26
509,114,155,10,35
510,288,233,37,19
511,142,355,36,27
512,356,357,8,8
513,114,113,10,10
514,47,339,10,13
515,194,194,21,21
516,194,195,21,21
517,63,137,21,21
518,43,358,14,14
519,63,63,21,21
520,359,360,14,14
521,86,128,36,5
522,64,5,25,25
523,160,187,36,15
524,114,361,10,10
525,232,103,4,7
526,244,236,19,19
527,160,190,36,15
528,69,212,15,34
529,335,334,17,17
530,114,129,10,4
531,243,271,19,28
532,184,190,15,15
533,212,69,34,15
534,62,18,36,1
535,44,362,14,14
536,44,293,14,14
537,271,243,28,19
538,310,62,1,36
539,252,105,20,34
540,88,303,20,20
541,153,62,27,36
542,363,283,35,36
543,363,161,35,14
544,363,280,35,4
545,363,256,35,4
546,363,211,35,22
547,363,364,35,37
548,363,106,35,38
549,363,236,35,19
550,363,365,35,14
551,363,249,35,14
552,114,263,10,10
553,114,318,10,10
554,145,87,35,34
555,145,252,35,20
556,263,114,10,10
557,39,28,11,11
558,105,252,34,20
559,153,366,27,36
560,165,28,13,11
561,165,114,13,10
562,165,169,13,13
563,165,367,13,10
564,37,37,11,11
565,52,185,7,16
566,187,329,15,8
567,187,106,15,38
568,220,223,1,1
569,52,52,7,7
570,52,368,7,7
571,252,304,20,20
572,252,96,20,20
573,252,89,20,20
574,252,88,20,20
575,252,302,20,20
576,252,369,20,20
577,116,169,13,13
578,362,44,14,14
579,362,293,14,14
580,184,298,15,15
581,169,116,13,13
582,178,176,0,4
583,265,264,14,14
584,236,363,19,35
585,195,194,21,21
586,40,370,11,10
587,238,236,19,19
588,170,136,13,13
589,353,371,16,16
590,86,205,36,5
591,86,41,36,5
592,190,184,15,15
593,372,373,36,36
594,288,162,37,37
595,160,113,36,10
596,54,211,22,22
597,180,343,0,0
598,55,58,22,21
599,160,263,36,10
600,62,153,36,27
601,374,44,14,14
602,58,208,21,22
603,62,340,36,2
604,14,290,4,4
605,170,115,13,13
606,5,215,25,1
607,80,375,29,8
608,376,377,7,7
609,22,92,9,9
610,94,201,5,4
611,58,162,21,37
612,55,54,22,22
613,295,378,7,7
614,295,379,7,7
615,295,103,7,7
616,295,380,7,7
617,295,381,7,7
618,295,382,7,7
619,295,376,7,7
620,295,181,7,7
621,295,383,7,7
622,295,384,7,7
623,295,283,7,36
624,295,157,7,0
625,295,385,7,7
626,295,386,7,7
627,295,387,7,7
628,295,388,7,7
629,295,389,7,7
630,295,390,7,7
631,295,61,7,7
632,295,391,7,7
633,295,392,7,7
634,295,393,7,7
635,295,394,7,7
636,295,250,7,7
637,295,395,7,7
638,295,396,7,7
639,295,397,7,7
640,295,398,7,7
641,295,377,7,7
642,295,368,7,7
643,295,104,7,7
644,295,321,7,7
645,295,60,7,7
646,295,150,7,7
647,295,320,7,7
648,295,295,7,7
649,40,35,11,11
650,37,30,11,11
651,133,307,4,1
652,133,399,4,4
653,133,167,4,4
654,133,400,4,9
655,133,133,4,4
656,133,401,4,4
657,133,232,4,4
658,133,291,4,4
659,133,284,4,0
660,133,206,4,4
661,133,402,4,0
662,133,52,4,7
663,133,179,4,0
664,133,403,4,4
665,68,21,15,9
666,404,166,16,36
667,113,160,10,36
668,405,106,38,38
669,306,69,9,15
670,113,47,10,10
671,43,406,14,14
672,43,407,14,14
673,103,378,7,7
674,103,377,7,7
675,103,321,7,7
676,157,395,0,7
677,213,155,14,35
678,263,160,10,36
679,4,63,21,21
680,4,286,21,21
681,183,282,4,36
682,286,4,21,21
683,213,61,14,7
684,213,320,14,7
685,61,380,7,7
686,2,195,21,21
687,114,256,10,4
688,114,365,10,14
689,2,305,21,21
690,286,174,21,32
691,183,303,4,20
692,377,376,7,7
693,408,408,21,21
694,377,103,7,7
695,164,216,17,17
696,409,409,26,26
697,305,2,21,21
698,305,63,21,21
699,2,2,21,21
700,410,329,27,8
701,355,256,27,4
702,355,365,27,14
703,135,135,13,13
704,132,411,28,28
705,132,132,28,28
706,114,340,10,2
707,412,4,21,21
708,412,2,21,21
709,183,129,4,4
710,201,94,4,5
711,63,3,21,21
712,63,62,21,36
713,57,137,21,21
714,2,412,21,21
715,157,191,0,0
716,135,336,13,13
717,172,413,4,4
718,172,123,4,13
719,193,193,21,21
720,3,63,21,21
721,377,61,7,7
722,296,296,7,7
723,63,174,21,32
724,96,96,20,20
725,149,148,0,0
726,414,415,1,1
727,306,306,9,9
728,61,377,7,7
729,195,2,21,21
730,258,329,8,8
731,267,19,14,14
732,5,5,25,25
733,327,21,9,9
734,327,416,9,9
735,327,173,9,38
736,48,50,10,37
737,48,75,10,10
738,263,417,10,10
739,50,87,37,34
740,50,49,37,36
741,50,71,37,37
742,50,84,37,37
743,418,62,15,36
744,418,184,15,15
745,418,299,15,15
746,216,164,17,17
747,9,19,14,14
748,214,345,0,0
749,214,351,0,0
750,419,290,4,4
751,29,420,11,26
752,9,421,14,14
753,366,366,36,36
754,417,263,10,10
755,87,422,34,35
756,87,154,34,35
757,87,41,34,5
758,87,145,34,35
759,87,50,34,37
760,254,186,40,40
761,422,87,35,34
762,115,136,13,13
763,249,105,14,34
764,423,417,10,10
765,16,424,34,34
766,284,155,0,35
767,13,301,26,26
768,38,25,11,11
769,38,26,11,11
770,38,40,11,11
771,425,426,4,4
772,115,427,13,12
773,417,423,10,10
774,118,117,26,6
775,86,189,36,15
776,329,187,8,15
777,174,63,32,21
778,21,68,9,15
779,329,410,8,27
780,231,172,0,4
781,154,87,35,34
782,428,429,17,17
783,184,299,15,15
784,430,249,14,14
785,282,212,36,34
786,282,121,36,36
787,282,83,36,36
788,282,424,36,34
789,71,162,37,37
790,71,431,37,37
791,71,432,37,37
792,71,433,37,37
793,71,83,37,36
794,71,84,37,37
795,13,36,26,11
796,270,129,4,4
797,434,215,34,1
798,132,285,28,22
799,179,157,0,0
800,115,338,13,13
801,435,435,6,6
802,435,147,6,23
803,39,23,11,11
804,424,15,34,17
805,424,45,34,17
806,115,337,13,13
807,115,436,13,13
808,115,123,13,13
809,115,437,13,13
810,115,165,13,13
811,115,336,13,13
812,115,438,13,13
813,115,251,13,13
814,115,439,13,13
815,115,135,13,13
816,115,339,13,13
817,138,137,21,21
818,105,249,34,14
819,440,413,4,4
820,440,275,4,4
821,440,178,4,0
822,394,104,7,7
823,414,414,1,1
824,29,23,11,11
825,441,360,14,14
826,20,86,9,36
827,85,17,1,1
828,30,23,11,11
829,85,41,1,5
830,417,442,10,10
831,23,115,11,13
832,417,443,10,10
833,417,444,10,10
834,212,282,34,36
835,212,145,34,35
836,137,57,21,21
837,27,23,11,11
838,438,35,13,11
839,434,23,34,11
840,255,249,6,14
841,139,129,17,4
842,139,445,17,3
843,417,113,10,10
844,417,114,10,10
845,140,139,17,17
846,140,446,17,17
847,140,447,17,17
848,140,448,17,17
849,438,169,13,13
850,139,342,17,0
851,35,438,11,13
852,321,104,7,7
853,414,449,1,1
854,115,23,13,11
855,55,56,22,21
856,55,57,22,21
857,324,11,14,14
858,23,434,11,34
859,57,55,21,22
860,450,434,4,34
861,29,438,11,13
862,338,116,13,13
863,250,150,7,7
864,160,405,36,38
865,363,154,35,35
866,74,177,1,1
867,74,74,1,1
868,19,267,14,14
869,288,217,37,37
870,288,84,37,37
871,438,29,13,11
872,451,452,14,14
873,284,160,0,36
874,437,135,13,13
875,178,177,0,1
876,135,437,13,13
877,116,338,13,13
878,86,453,36,6
879,454,357,27,8
880,169,438,13,13
881,210,210,19,19
882,405,160,38,36
883,169,338,13,13
884,248,142,1,36
885,73,73,1,1
886,437,455,13,22
887,456,456,21,21
888,84,82,37,36
889,84,121,37,36
890,65,457,4,4
891,73,215,1,1
892,21,212,9,34
893,212,21,34,9
894,458,129,4,4
895,164,46,17,17
896,177,176,1,4
897,177,178,1,0
898,139,164,17,17
899,62,283,36,36
900,152,147,37,23
901,21,74,9,1
902,107,113,36,10
903,107,417,36,10
904,107,114,36,10
905,147,152,23,37
906,333,62,10,36
907,223,459,1,1
908,406,11,14,14
909,40,48,11,10
910,238,244,19,19
911,253,75,31,10
912,260,74,9,1
913,417,62,10,36
914,113,417,10,10
915,106,405,38,38
916,62,333,36,10
917,139,429,17,17
918,434,450,34,4
919,434,460,34,34
920,434,365,34,14
921,68,80,15,29
922,275,172,4,4
923,461,45,17,17
924,116,336,13,13
925,283,308,36,1
926,462,463,30,30
927,216,216,17,17
928,207,41,4,5
929,448,140,17,17
930,448,272,17,17
931,448,46,17,17
932,448,45,17,17
933,244,238,19,19
934,62,441,36,14
935,338,123,13,13
936,268,459,39,1
937,464,280,4,4
938,465,155,23,35
939,422,404,35,16
940,466,421,14,14
941,142,187,36,15
942,160,18,36,1
943,61,295,7,7
944,467,152,15,37
945,58,305,21,21
946,26,38,11,11
947,26,40,11,11
948,351,180,0,0
949,148,468,0,1
950,265,19,14,14
951,314,17,1,1
952,160,284,36,0
953,455,375,22,8
954,91,469,15,22
955,283,282,36,36
956,170,470,13,12
957,102,2,38,21
958,393,378,7,7
959,393,379,7,7
960,393,103,7,7
961,393,381,7,7
962,393,376,7,7
963,393,181,7,7
964,393,385,7,7
965,393,388,7,7
966,393,390,7,7
967,393,61,7,7
968,393,392,7,7
969,393,393,7,7
970,393,394,7,7
971,393,296,7,7
972,393,250,7,7
973,393,395,7,7
974,393,397,7,7
975,393,377,7,7
976,393,368,7,7
977,393,104,7,7
978,393,321,7,7
979,393,60,7,7
980,393,150,7,7
981,393,320,7,7
982,393,295,7,7
983,232,52,4,7
984,375,455,8,22
985,171,40,10,11
986,471,472,31,6
987,471,255,31,6
988,105,473,34,15
989,105,434,34,34
990,152,467,37,15
991,280,464,4,4
992,474,91,15,15
993,126,13,22,26
994,176,292,4,4
995,470,170,12,13
996,79,62,3,36
997,258,62,8,36
998,166,424,36,34
999,375,143,8,8
1000,375,475,8,8
1001,375,356,8,8
1002,375,329,8,8
1003,375,66,8,8
1004,375,469,8,22
1005,375,108,8,8
1006,375,110,8,8
1007,375,375,8,8
1008,375,91,8,15
1009,375,476,8,15
1010,375,111,8,8
1011,375,474,8,15
1012,375,112,8,8
1013,375,328,8,8
1014,375,357,8,8
1015,375,477,8,8
1016,375,258,8,8
1017,375,478,8,8
1018,375,90,8,8
1019,381,177,7,1
1020,381,176,7,4
1021,381,344,7,0
1022,381,479,7,1
1023,381,320,7,7
1024,480,282,15,36
1025,91,375,15,8
1026,123,338,13,13
1027,52,232,7,4
1028,267,265,14,14
1029,320,381,7,7
1030,106,44,38,14
1031,106,190,38,15
1032,292,176,4,4
1033,164,388,17,7
1034,166,165,36,13
1035,86,106,36,38
1036,80,287,29,15
1037,481,55,22,22
1038,116,136,13,13
1039,454,189,27,15
1040,165,337,13,13
1041,165,361,13,10
1042,165,27,13,11
1043,165,30,13,11
1044,165,116,13,13
1045,165,133,13,4
1046,165,165,13,13
1047,165,336,13,13
1048,165,136,13,13
1049,165,135,13,13
1050,139,139,17,17
1051,482,340,2,2
1052,2,102,21,38
1053,106,42,38,34
1054,351,178,0,0
1055,249,115,14,13
1056,249,169,14,13
1057,329,66,8,8
1058,329,328,8,8
1059,169,249,13,14
1060,481,58,22,21
1061,483,377,3,7
1062,12,265,14,14
1063,58,366,21,36
1064,137,107,21,36
1065,291,291,4,4
1066,214,214,0,0
1067,481,211,22,22
1068,481,208,22,22
1069,283,82,36,36
1070,283,121,36,36
1071,316,1,1,1
1072,2,194,21,21
1073,172,275,4,4
1074,107,137,36,21
1075,62,152,36,37
1076,387,296,7,7
1077,387,295,7,7
1078,62,474,36,15
1079,62,258,36,8
1080,303,183,20,4
1081,380,380,7,7
1082,178,344,0,0
1083,434,105,34,34
1084,408,59,21,21
1085,172,93,4,4
1086,194,2,21,21
1087,167,280,4,4
1088,115,107,13,36
1089,62,314,36,1
1090,377,377,7,7
1091,150,393,7,7
1092,290,484,4,4
1093,100,429,16,17
1094,429,164,17,17
1095,194,192,21,21
1096,13,10,26,9
1097,429,140,17,17
1098,429,447,17,17
1099,429,448,17,17
1100,13,446,26,17
1101,13,35,26,11
1102,164,429,17,17
1103,340,114,2,10
1104,63,371,21,16
1105,63,363,21,35
1106,13,25,26,11
1107,44,407,14,14
1108,13,303,26,20
1109,13,95,26,4
1110,13,129,26,4
1111,340,340,2,2
1112,170,485,13,10
1113,400,260,9,9
1114,149,149,0,0
1115,309,215,1,1
1116,309,222,1,1
1117,296,393,7,7
1118,104,103,7,7
1119,3,3,21,21
1120,258,474,8,15
1121,184,418,15,15
1122,318,486,10,4
1123,314,62,1,36
1124,314,85,1,1
1125,487,488,14,14
1126,489,489,25,25
1127,20,230,9,23
1128,417,151,10,10
1129,145,121,35,36
1130,75,372,10,36
1131,105,82,34,36
1132,259,20,9,9
1133,448,40,17,11
1134,335,15,17,17
1135,63,4,21,21
1136,215,215,1,1
1137,329,143,8,8
1138,329,356,8,8
1139,329,108,8,8
1140,329,375,8,8
1141,329,357,8,8
1142,329,478,8,8
1143,329,90,8,8
1144,36,129,11,4
1145,187,142,15,36
1146,311,459,1,1
1147,47,443,10,10
1148,420,29,26,11
1149,19,161,14,14
1150,23,62,11,36
1151,155,285,35,22
1152,176,344,4,0
1153,95,201,4,4
1154,282,62,36,36
1155,249,62,14,36
1156,249,355,14,27
1157,218,74,1,1
1158,121,212,36,34
1159,81,107,15,36
1160,81,62,15,36
1161,128,86,5,36
1162,107,99,36,16
1163,212,121,34,36
1164,103,103,7,7
1165,311,215,1,1
1166,490,129,6,4
1167,490,365,6,14
1168,491,168,6,4
1169,491,167,6,4
1170,199,196,4,5
1171,199,51,4,5
1172,199,197,4,4
1173,199,199,4,4
1174,199,200,4,4
1175,199,128,4,5
1176,199,167,4,4
1177,199,203,4,4
1178,199,204,4,5
1179,199,206,4,4
1180,199,41,4,5
1181,199,94,4,5
1182,199,95,4,4
1183,199,207,4,4
1184,199,201,4,4
1185,429,139,17,17
1186,429,46,17,17
1187,340,10,2,9
1188,46,429,17,17
1189,363,63,35,21
1190,162,492,37,40
1191,64,91,25,15
1192,62,81,36,15
1193,132,271,28,28
1194,428,139,17,17
1195,428,446,17,17
1196,428,447,17,17
1197,346,157,0,0
1198,346,294,0,4
1199,450,440,4,4
1200,450,275,4,4
1201,450,458,4,4
1202,95,13,4,26
1203,186,121,40,36
1204,321,103,7,7
1205,10,260,9,9
1206,493,294,4,4
1207,494,83,36,36
1208,440,450,4,4
1209,312,377,1,7
1210,33,23,11,11
1211,490,106,6,38
1212,3,2,21,21
1213,64,141,25,14
1214,210,159,19,19
1215,210,158,19,19
1216,309,74,1,1
1217,309,272,1,17
1218,309,223,1,1
1219,257,278,0,0
1220,251,251,13,13
1221,107,161,36,14
1222,190,106,15,38
1223,168,129,4,4
1224,86,295,36,7
1225,20,495,9,23
1226,495,20,23,9
1227,379,157,7,0
1228,198,183,4,4
1229,282,16,36,34
1230,83,496,36,14
1231,157,396,0,7
1232,497,78,3,3
1233,36,28,11,11
1234,62,79,36,3
1235,295,86,7,36
1236,107,4,36,21
1237,68,62,15,36
1238,28,36,11,11
1239,232,232,4,4
1240,264,498,14,14
1241,298,184,15,15
1242,305,285,21,22
1243,198,387,4,7
1244,86,86,36,36
1245,181,181,7,7
1246,181,394,7,7
1247,181,250,7,7
1248,181,377,7,7
1249,181,104,7,7
1250,278,257,0,0
1251,499,44,14,14
1252,499,500,14,14
1253,499,501,14,14
1254,499,502,14,14
1255,499,503,14,14
1256,499,406,14,14
1257,499,407,14,14
1258,499,504,14,14
1259,499,505,14,14
1260,499,43,14,14
1261,499,358,14,14
1262,499,506,14,14
1263,265,267,14,14
1264,254,107,40,36
1265,7,44,14,14
1266,62,226,36,1
1267,23,460,11,34
1268,131,411,28,28
1269,245,113,10,10
1270,206,346,4,0
1271,62,30,36,11
1272,62,23,36,11
1273,62,128,36,5
1274,62,41,36,5
1275,507,243,31,19
1276,129,168,4,4
1277,508,509,15,15
1278,305,58,21,21
1279,89,469,20,22
1280,96,89,20,20
1281,309,309,1,1
1282,113,151,10,10
1283,141,7,14,14
1284,267,498,14,14
1285,86,510,36,14
1286,128,62,5,36
1287,54,281,22,21
1288,19,265,14,14
1289,485,170,10,13
1290,294,346,4,0
1291,191,511,0,0
1292,174,174,32,32
1293,97,300,16,38
1294,19,362,14,14
1295,260,248,9,1
1296,260,297,9,1
1297,260,259,9,9
1298,35,24,11,11
1299,107,174,36,32
1300,512,155,23,35
1301,174,107,32,36
1302,300,97,38,16
1303,513,222,35,1
1304,113,361,10,10
1305,113,263,10,10
1306,113,444,10,10
1307,113,318,10,10
1308,113,423,10,10
1309,113,245,10,10
1310,174,4,32,21
1311,514,514,8,8
1312,362,498,14,14
1313,5,117,25,6
1314,28,35,11,11
1315,305,211,21,22
1316,129,114,4,10
1317,12,12,14,14
1318,486,394,4,7
1319,178,351,0,0
1320,28,23,11,11
1321,434,128,34,5
1322,434,161,34,14
1323,434,19,34,14
1324,434,129,34,4
1325,174,164,32,17
1326,129,365,4,14
1327,249,129,14,4
1328,411,132,28,28
1329,155,512,35,23
1330,168,515,4,4
1331,516,517,1,1
1332,91,514,15,8
1333,213,360,14,14
1334,269,46,17,17
1335,222,513,1,35
1336,321,394,7,7
1337,515,168,4,4
1338,84,84,37,37
1339,42,74,34,1
1340,345,180,0,0
1341,154,363,35,35
1342,518,173,35,38
1343,354,353,16,16
1344,152,62,37,36
1345,394,321,7,7
1346,283,62,36,36
1347,173,518,38,35
1348,41,62,5,36
1349,51,280,5,4
1350,211,285,22,22
1351,211,305,22,21
1352,141,430,14,14
1353,519,519,23,23
1354,300,160,38,36
1355,160,362,36,14
1356,59,520,21,21
